state,ageGroup,raceEthnicity,gender,education,smokingStatus,alcoholPerWeek,anyPhysicalActivity,n,n_2035
OH,5,2,1,3,0,1,0,2210,2145
OH,5,2,1,3,0,1,1,3360,3261
OH,5,2,1,4,0,0,1,689,669
OH,5,2,1,4,0,1,1,5593,5428
OH,5,2,2,2,0,0,1,4757,4500
OH,5,2,2,3,0,0,0,2828,2675
OH,5,2,2,3,0,0,1,3118,2950
OH,5,2,2,3,0,1,1,9479,8967
OH,5,2,2,4,0,1,0,810,766
OH,5,2,2,4,0,3,1,2928,2770
OH,5,2,2,5,0,0,1,2213,2094
OH,5,2,2,5,0,2,1,959,907
OH,5,5,1,3,0,0,1,3757,3821
OH,5,5,1,3,0,1,0,1252,1274
OH,5,5,1,3,0,1,1,3497,3557
OH,5,5,1,3,2,0,1,736,748
OH,5,5,1,4,0,0,0,198,202
OH,5,5,1,4,0,1,1,1605,1633
OH,5,5,1,5,0,0,0,1131,1150
OH,5,5,1,5,0,0,1,517,526
OH,5,5,1,5,0,1,0,495,503
OH,5,5,1,5,0,1,1,1805,1836
OH,5,5,1,5,0,2,1,265,269
OH,5,5,1,5,2,1,1,495,503
OH,5,5,2,3,0,0,1,4974,4971
OH,5,5,2,3,0,1,1,1264,1264
OH,5,5,2,3,0,2,0,2095,2094
OH,5,5,2,3,2,1,1,1250,1249
OH,5,5,2,4,0,0,1,1705,1704
OH,5,5,2,4,0,1,1,2189,2187
OH,5,5,2,5,0,1,1,2966,2965
OH,6,3,1,2,0,0,1,5868,5707
OH,6,3,1,2,0,1,1,765,744
OH,6,3,1,2,0,3,1,1123,1092
OH,6,3,1,3,0,0,1,17782,17294
OH,6,3,1,3,0,1,0,3240,3151
OH,6,3,1,3,0,1,1,23599,22951
OH,6,3,1,3,0,2,0,1148,1117
OH,6,3,1,3,0,2,1,4159,4044
OH,6,3,1,3,0,3,1,5358,5210
OH,6,3,1,3,1,0,1,4516,4392
OH,6,3,1,3,1,1,1,4439,4317
OH,6,3,1,3,1,2,1,1709,1662
OH,6,3,1,3,2,0,1,4898,4764
OH,6,3,1,3,2,1,1,2424,2357
OH,6,3,1,3,2,3,0,434,422
OH,6,3,1,3,2,3,1,5587,5434
OH,6,3,1,4,0,0,0,1174,1141
OH,6,3,1,4,0,0,1,7424,7220
OH,6,3,1,4,0,1,0,2143,2084
OH,6,3,1,4,0,1,1,33727,32801
OH,6,3,1,4,0,2,1,7424,7220
OH,6,3,1,4,0,3,0,4056,3945
OH,6,3,1,4,0,3,1,4847,4714
OH,6,3,1,4,1,0,0,1225,1191
OH,6,3,1,4,1,0,1,3878,3771
OH,6,3,1,4,1,1,1,10894,10595
OH,6,3,1,4,1,2,1,2679,2605
OH,6,3,1,4,2,0,1,3725,3623
OH,6,3,1,4,2,2,1,459,447
OH,6,3,1,5,0,0,0,1556,1514
OH,6,3,1,5,0,0,1,9286,9032
OH,6,3,1,5,0,1,0,4924,4789
OH,6,3,1,5,0,1,1,38830,37764
OH,6,3,1,5,0,2,1,11659,11339
OH,6,3,1,5,0,3,0,459,447
OH,6,3,1,5,0,3,1,5128,4987
OH,6,3,1,5,1,0,1,4082,3970
OH,6,3,1,5,1,1,0,2066,2010
OH,6,3,1,5,1,1,1,2296,2233
OH,6,3,1,5,1,2,1,944,918
OH,6,3,1,5,1,3,1,3138,3052
OH,6,3,2,1,0,0,1,7691,7528
OH,6,3,2,2,0,0,0,9836,9627
OH,6,3,2,2,0,1,1,2687,2630
OH,6,3,2,2,2,0,0,10945,10713
OH,6,3,2,2,2,3,0,1109,1086
OH,6,3,2,3,0,0,0,8160,7986
OH,6,3,2,3,0,0,1,22014,21546
OH,6,3,2,3,0,1,0,2687,2630
OH,6,3,2,3,0,1,1,9343,9144
OH,6,3,2,3,0,3,0,567,555
OH,6,3,2,3,0,3,1,715,700
OH,6,3,2,3,1,0,0,3870,3788
OH,6,3,2,3,1,0,1,8702,8517
OH,6,3,2,3,1,1,1,10600,10375
OH,6,3,2,3,2,0,1,2046,2003
OH,6,3,2,3,2,1,0,715,700
OH,6,3,2,3,2,2,1,1602,1568
OH,6,3,2,4,0,0,1,12153,11895
OH,6,3,2,4,0,1,0,542,531
OH,6,3,2,4,0,1,1,16738,16383
OH,6,3,2,4,1,0,0,5275,5163
OH,6,3,2,4,1,0,1,10723,10496
OH,6,3,2,4,1,1,1,5916,5791
OH,6,3,2,4,2,1,1,1972,1930
OH,6,3,2,5,0,0,0,6089,5960
OH,6,3,2,5,0,0,1,18341,17951
OH,6,3,2,5,0,1,1,51078,49993
OH,6,3,2,5,0,2,1,4339,4246
OH,6,3,2,5,0,3,1,3353,3281
OH,6,3,2,5,1,1,1,6335,6201
OH,6,3,2,5,2,1,1,345,338
OH,6,4,1,2,0,1,1,12180,13358
OH,6,4,1,3,2,3,1,6112,6703
OH,6,4,1,4,0,0,1,18564,20360
OH,6,4,1,4,0,1,1,5914,6486
OH,6,4,1,4,2,2,1,9449,10363
OH,6,4,1,5,0,0,1,650,713
OH,6,4,1,5,0,1,0,1969,2160
OH,6,4,1,5,0,1,1,1108,1216
OH,6,4,1,5,0,2,1,1622,1779
OH,6,4,1,5,0,3,1,4353,4774
OH,6,4,2,3,0,0,0,5727,6352
OH,6,4,2,3,0,0,1,6580,7298
OH,6,4,2,4,0,0,1,11333,12569
OH,6,4,2,4,2,1,0,5536,6140
OH,6,4,2,5,0,0,1,12552,13921
OH,6,4,2,5,0,1,1,13492,14963
OH,6,4,2,5,0,2,0,2814,3121
OH,6,2,1,2,0,0,1,4400,5145
OH,6,2,1,3,0,0,1,2829,3308
OH,6,2,1,3,0,1,0,1544,1805
OH,6,2,1,3,0,1,1,2281,2667
OH,6,2,1,3,1,0,0,2670,3122
OH,6,2,1,3,1,1,1,281,329
OH,6,2,1,3,2,0,1,1468,1717
OH,6,2,1,3,2,1,1,852,996
OH,6,2,1,4,0,1,1,3585,4192
OH,6,2,1,4,1,0,1,1422,1662
OH,6,2,1,4,1,1,1,507,592
OH,6,2,1,4,1,2,1,1498,1751
OH,6,2,1,5,1,1,1,1138,1330
OH,6,2,2,2,0,1,0,4617,5551
OH,6,2,2,2,2,1,1,1654,1989
OH,6,2,2,3,0,0,0,5043,6064
OH,6,2,2,3,1,0,0,671,807
OH,6,2,2,3,1,1,1,1541,1853
OH,6,2,2,4,0,0,0,2159,2597
OH,6,2,2,4,0,1,1,1190,1431
OH,6,2,2,4,1,0,1,967,1162
OH,6,2,2,4,1,1,1,2748,3304
OH,6,2,2,4,2,2,1,1190,1431
OH,6,2,2,5,0,0,0,1064,1279
OH,6,2,2,5,0,1,1,224,269
OH,6,5,1,3,0,1,1,1283,1417
OH,6,5,1,3,1,0,1,1158,1279
OH,6,5,1,3,1,3,1,2330,2575
OH,6,5,1,3,2,3,0,217,239
OH,6,5,1,4,0,1,1,616,681
OH,6,5,1,4,1,1,1,2372,2620
OH,6,5,1,5,0,0,1,2285,2525
OH,6,5,1,5,0,1,0,1846,2040
OH,6,5,1,5,0,1,1,3331,3680
OH,6,5,1,5,1,0,1,1635,1806
OH,6,5,1,5,2,1,1,995,1100
OH,6,5,2,3,1,0,1,2385,2553
OH,6,5,2,3,2,0,1,1391,1489
OH,6,5,2,3,2,1,0,2307,2469
OH,6,5,2,4,1,1,1,2991,3202
OH,6,5,2,5,0,0,1,4682,5012
OH,6,5,2,5,0,1,1,6320,6765
OH,7,3,1,1,0,1,0,1983,1997
OH,7,3,1,1,0,1,1,2557,2575
OH,7,3,1,1,2,0,0,6914,6963
OH,7,3,1,1,2,3,0,4409,4440
OH,7,3,1,2,0,0,1,2087,2102
OH,7,3,1,2,0,2,1,4435,4467
OH,7,3,1,2,2,0,1,1748,1760
OH,7,3,1,2,2,2,1,2922,2943
OH,7,3,1,3,0,0,0,4018,4046
OH,7,3,1,3,0,0,1,365,368
OH,7,3,1,3,0,1,1,12550,12638
OH,7,3,1,3,0,2,1,2896,2917
OH,7,3,1,3,0,3,1,417,420
OH,7,3,1,3,1,0,0,600,604
OH,7,3,1,3,1,0,1,9706,9774
OH,7,3,1,3,1,1,1,8453,8513
OH,7,3,1,3,1,2,1,1826,1839
OH,7,3,1,3,1,3,0,939,946
OH,7,3,1,3,1,3,1,4801,4835
OH,7,3,1,3,2,0,0,548,552
OH,7,3,1,3,2,0,1,1879,1892
OH,7,3,1,3,2,1,0,2766,2785
OH,7,3,1,3,2,1,1,3183,3206
OH,7,3,1,3,2,2,1,835,841
OH,7,3,1,3,2,3,0,3209,3232
OH,7,3,1,3,2,3,1,1957,1971
OH,7,3,1,4,0,0,1,9549,9617
OH,7,3,1,4,0,1,0,939,946
OH,7,3,1,4,0,1,1,15472,15581
OH,7,3,1,4,0,2,1,939,946
OH,7,3,1,4,0,3,1,3183,3206
OH,7,3,1,4,1,0,1,861,867
OH,7,3,1,4,1,1,1,10958,11035
OH,7,3,1,4,1,2,0,6157,6201
OH,7,3,1,4,1,2,1,1957,1971
OH,7,3,1,4,1,3,1,3235,3258
OH,7,3,1,4,2,0,1,3340,3363
OH,7,3,1,4,2,2,1,12654,12743
OH,7,3,1,4,2,3,1,4566,4598
OH,7,3,1,5,0,0,0,2792,2811
OH,7,3,1,5,0,0,1,19959,20100
OH,7,3,1,5,0,1,0,3679,3705
OH,7,3,1,5,0,1,1,33552,33789
OH,7,3,1,5,0,2,1,15106,15213
OH,7,3,1,5,0,3,1,1252,1261
OH,7,3,1,5,1,0,1,3261,3284
OH,7,3,1,5,1,1,1,9471,9538
OH,7,3,1,5,1,2,1,8271,8329
OH,7,3,1,5,1,3,1,522,525
OH,7,3,1,5,2,1,1,1252,1261
OH,7,3,2,1,0,0,1,2461,2497
OH,7,3,2,2,0,0,0,3704,3758
OH,7,3,2,3,0,0,0,2361,2396
OH,7,3,2,3,0,0,1,14565,14779
OH,7,3,2,3,0,1,1,12353,12534
OH,7,3,2,3,1,0,0,1193,1211
OH,7,3,2,3,1,0,1,6761,6860
OH,7,3,2,3,1,1,0,8252,8373
OH,7,3,2,3,1,1,1,10961,11122
OH,7,3,2,3,1,2,1,1516,1538
OH,7,3,2,3,2,0,0,572,580
OH,7,3,2,3,2,0,1,870,883
OH,7,3,2,3,2,1,1,2486,2522
OH,7,3,2,4,0,0,0,820,832
OH,7,3,2,4,0,0,1,20854,21160
OH,7,3,2,4,0,1,1,27590,27994
OH,7,3,2,4,1,0,0,1690,1715
OH,7,3,2,4,1,0,1,9346,9483
OH,7,3,2,4,1,1,0,1317,1337
OH,7,3,2,4,1,1,1,6363,6456
OH,7,3,2,4,1,3,1,920,933
OH,7,3,2,4,2,0,0,945,958
OH,7,3,2,4,2,0,1,447,454
OH,7,3,2,4,2,1,1,6264,6355
OH,7,3,2,5,0,0,0,1864,1892
OH,7,3,2,5,0,0,1,23812,24161
OH,7,3,2,5,0,1,0,5220,5296
OH,7,3,2,5,0,1,1,47773,48473
OH,7,3,2,5,0,2,1,7208,7314
OH,7,3,2,5,0,3,1,895,908
OH,7,3,2,5,1,0,0,845,857
OH,7,3,2,5,1,0,1,1616,1639
OH,7,3,2,5,1,1,0,194,197
OH,7,3,2,5,1,1,1,9619,9760
OH,7,3,2,5,1,3,1,3082,3127
OH,7,3,2,5,2,1,1,1740,1765
OH,7,4,1,3,0,0,0,4415,4600
OH,7,4,1,3,0,0,1,4415,4600
OH,7,4,1,3,1,1,1,10772,11221
OH,7,4,1,3,2,1,1,697,727
OH,7,4,1,3,2,2,0,3669,3822
OH,7,4,1,4,0,0,1,6526,6798
OH,7,4,1,4,0,1,0,6223,6482
OH,7,4,1,4,0,1,1,983,1024
OH,7,4,1,4,1,0,1,6526,6798
OH,7,4,1,5,0,0,1,2414,2515
OH,7,4,1,5,0,1,1,11287,11758
OH,7,4,1,5,1,1,1,2729,2843
OH,7,4,2,2,0,0,1,4757,4836
OH,7,4,2,2,1,1,1,3557,3617
OH,7,4,2,2,2,0,1,9740,9903
OH,7,4,2,3,0,1,1,4479,4554
OH,7,4,2,3,2,0,0,1842,1873
OH,7,4,2,3,2,1,0,1350,1373
OH,7,4,2,4,0,0,1,6344,6451
OH,7,4,2,4,0,2,1,4456,4530
OH,7,4,2,4,1,0,1,3239,3293
OH,7,4,2,4,2,1,1,3940,4006
OH,7,4,2,5,0,0,0,1107,1125
OH,7,4,2,5,0,0,1,3476,3535
OH,7,4,2,5,0,1,0,1211,1231
OH,7,4,2,5,0,1,1,4751,4831
OH,7,4,2,5,1,1,1,3685,3747
OH,7,2,1,3,0,0,0,1906,2512
OH,7,2,1,3,0,1,1,3131,4124
OH,7,2,1,3,1,2,1,2767,3645
OH,7,2,1,3,2,0,1,745,981
OH,7,2,1,4,0,1,0,2743,3614
OH,7,2,1,5,0,0,1,3211,4230
OH,7,2,1,5,0,1,1,3338,4397
OH,7,2,1,5,2,1,1,1715,2259
OH,7,2,2,2,1,0,1,2316,3059
OH,7,2,2,3,0,0,1,1991,2629
OH,7,2,2,3,0,1,0,694,917
OH,7,2,2,3,1,1,1,778,1027
OH,7,2,2,4,0,0,1,1161,1533
OH,7,2,2,4,0,1,1,4618,6099
OH,7,2,2,4,2,0,1,1377,1818
OH,7,2,2,5,0,0,1,1619,2138
OH,7,2,2,5,0,1,1,4052,5352
OH,7,5,1,2,2,3,1,1964,2102
OH,7,5,1,3,0,0,1,3846,4115
OH,7,5,1,3,0,3,1,1860,1990
OH,7,5,1,3,1,0,1,1544,1652
OH,7,5,1,3,2,2,0,555,594
OH,7,5,1,4,0,0,1,336,359
OH,7,5,1,4,0,1,1,1524,1631
OH,7,5,1,4,1,0,1,155,166
OH,7,5,1,5,0,0,0,1168,1250
OH,7,5,1,5,0,0,1,3172,3394
OH,7,5,1,5,0,1,1,3355,3590
OH,7,5,1,5,0,2,1,94,101
OH,7,5,1,5,1,1,1,531,568
OH,7,5,2,4,0,0,1,3934,4334
OH,7,5,2,4,0,1,1,874,962
OH,7,5,2,4,2,1,1,450,496
OH,7,5,2,5,0,0,1,4599,5066
OH,7,5,2,5,0,1,1,8652,9531
OH,7,5,2,5,0,2,1,1759,1938
OH,8,3,1,1,0,1,1,3766,3331
OH,8,3,1,1,2,1,0,5230,4626
OH,8,3,1,2,0,0,1,7561,6688
OH,8,3,1,2,1,0,1,3855,3410
OH,8,3,1,2,2,1,0,6993,6186
OH,8,3,1,2,2,3,1,2331,2062
OH,8,3,1,3,0,0,0,5290,4679
OH,8,3,1,3,0,0,1,11207,9913
OH,8,3,1,3,0,1,0,1016,899
OH,8,3,1,3,0,1,1,21756,19245
OH,8,3,1,3,0,2,1,717,634
OH,8,3,1,3,0,3,0,807,714
OH,8,3,1,3,0,3,1,1853,1639
OH,8,3,1,3,1,0,0,687,608
OH,8,3,1,3,1,0,1,14046,12425
OH,8,3,1,3,1,1,1,16855,14910
OH,8,3,1,3,1,2,1,3766,3331
OH,8,3,1,3,1,3,1,2361,2088
OH,8,3,1,3,2,0,1,5708,5049
OH,8,3,1,3,2,1,1,1434,1269
OH,8,3,1,3,2,3,0,2899,2564
OH,8,3,1,3,2,3,1,2630,2326
OH,8,3,1,4,0,0,0,1913,1692
OH,8,3,1,4,0,0,1,7441,6582
OH,8,3,1,4,0,1,0,1883,1665
OH,8,3,1,4,0,1,1,13269,11737
OH,8,3,1,4,0,2,1,5260,4653
OH,8,3,1,4,0,3,1,1315,1163
OH,8,3,1,4,1,0,0,2152,1903
OH,8,3,1,4,1,0,1,4363,3860
OH,8,3,1,4,1,1,0,1136,1005
OH,8,3,1,4,1,1,1,18409,16284
OH,8,3,1,4,1,2,1,1943,1718
OH,8,3,1,4,1,3,1,2480,2194
OH,8,3,1,4,2,0,0,3855,3410
OH,8,3,1,4,2,0,1,3766,3331
OH,8,3,1,4,2,1,0,329,291
OH,8,3,1,4,2,1,1,4363,3860
OH,8,3,1,4,2,2,1,2899,2564
OH,8,3,1,4,2,3,1,389,344
OH,8,3,1,5,0,0,0,1943,1718
OH,8,3,1,5,0,0,1,12193,10786
OH,8,3,1,5,0,1,0,1853,1639
OH,8,3,1,5,0,1,1,50327,44517
OH,8,3,1,5,0,2,1,2989,2644
OH,8,3,1,5,0,3,0,598,529
OH,8,3,1,5,0,3,1,3228,2855
OH,8,3,1,5,1,0,0,2212,1956
OH,8,3,1,5,1,0,1,6754,5974
OH,8,3,1,5,1,1,1,5858,5181
OH,8,3,1,5,1,2,0,2361,2088
OH,8,3,1,5,1,2,1,4453,3939
OH,8,3,1,5,1,3,1,2212,1956
OH,8,3,1,5,2,2,1,956,846
OH,8,3,1,5,2,3,0,956,846
OH,8,3,2,1,0,0,1,4147,3660
OH,8,3,2,2,0,0,0,7470,6593
OH,8,3,2,2,0,0,1,5112,4512
OH,8,3,2,2,0,1,1,1392,1228
OH,8,3,2,2,2,0,0,682,602
OH,8,3,2,3,0,0,0,1022,902
OH,8,3,2,3,0,0,1,13349,11783
OH,8,3,2,3,0,1,0,596,526
OH,8,3,2,3,0,1,1,8946,7897
OH,8,3,2,3,0,3,1,2670,2357
OH,8,3,2,3,1,0,0,2215,1955
OH,8,3,2,3,1,0,1,11048,9752
OH,8,3,2,3,1,1,0,2840,2507
OH,8,3,2,3,1,1,1,3124,2758
